Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Valor,SEXE,EDAT_1
2023-01-01,1,Ciutat Vella,1,el Raval,2,63,2,40
2023-01-01,1,Ciutat Vella,1,el Raval,2,64,2,41
2023-01-01,1,Ciutat Vella,1,el Raval,2,66,2,42
2023-01-01,1,Ciutat Vella,1,el Raval,2,55,2,43
2023-01-01,1,Ciutat Vella,1,el Raval,2,59,2,44
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,2,45
2023-01-01,1,Ciutat Vella,1,el Raval,2,51,2,46
2023-01-01,1,Ciutat Vella,1,el Raval,2,54,2,47
2023-01-01,1,Ciutat Vella,1,el Raval,2,35,2,48
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,2,49
2023-01-01,1,Ciutat Vella,1,el Raval,2,56,2,50
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,2,51
2023-01-01,1,Ciutat Vella,1,el Raval,2,47,2,52
2023-01-01,1,Ciutat Vella,1,el Raval,2,66,2,53
2023-01-01,1,Ciutat Vella,1,el Raval,2,44,2,54
2023-01-01,1,Ciutat Vella,1,el Raval,2,38,2,55
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,2,56
2023-01-01,1,Ciutat Vella,1,el Raval,2,41,2,57
2023-01-01,1,Ciutat Vella,1,el Raval,2,30,2,58
2023-01-01,1,Ciutat Vella,1,el Raval,2,27,2,59
2023-01-01,1,Ciutat Vella,1,el Raval,2,30,2,60
2023-01-01,1,Ciutat Vella,1,el Raval,2,17,2,61
2023-01-01,1,Ciutat Vella,1,el Raval,2,30,2,62
2023-01-01,1,Ciutat Vella,1,el Raval,2,29,2,63
2023-01-01,1,Ciutat Vella,1,el Raval,2,15,2,64
2023-01-01,1,Ciutat Vella,1,el Raval,2,20,2,65
2023-01-01,1,Ciutat Vella,1,el Raval,2,24,2,66
2023-01-01,1,Ciutat Vella,1,el Raval,2,23,2,67
2023-01-01,1,Ciutat Vella,1,el Raval,2,15,2,68
2023-01-01,1,Ciutat Vella,1,el Raval,2,21,2,69
2023-01-01,1,Ciutat Vella,1,el Raval,2,23,2,70
2023-01-01,1,Ciutat Vella,1,el Raval,2,14,2,71
2023-01-01,1,Ciutat Vella,1,el Raval,2,12,2,72
2023-01-01,1,Ciutat Vella,1,el Raval,2,13,2,73
2023-01-01,1,Ciutat Vella,1,el Raval,2,14,2,74
2023-01-01,1,Ciutat Vella,1,el Raval,2,10,2,75
2023-01-01,1,Ciutat Vella,1,el Raval,2,15,2,76
2023-01-01,1,Ciutat Vella,1,el Raval,2,12,2,77
2023-01-01,1,Ciutat Vella,1,el Raval,2,12,2,78
2023-01-01,1,Ciutat Vella,1,el Raval,2,10,2,79
2023-01-01,1,Ciutat Vella,1,el Raval,2,8,2,80
2023-01-01,1,Ciutat Vella,1,el Raval,2,5,2,81
2023-01-01,1,Ciutat Vella,1,el Raval,2,7,2,82
2023-01-01,1,Ciutat Vella,1,el Raval,2,5,2,83
2023-01-01,1,Ciutat Vella,1,el Raval,2,5,2,84
2023-01-01,1,Ciutat Vella,1,el Raval,2,6,2,85
2023-01-01,1,Ciutat Vella,1,el Raval,2,8,2,86
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,2,87
2023-01-01,1,Ciutat Vella,1,el Raval,2,5,2,88
2023-01-01,1,Ciutat Vella,1,el Raval,2,6,2,89
2023-01-01,1,Ciutat Vella,1,el Raval,2,6,2,90
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,2,91
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,2,94
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,2,95
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,2,96
2023-01-01,1,Ciutat Vella,1,el Raval,2,..,2,98
2023-01-01,1,Ciutat Vella,1,el Raval,3,26,1,0
2023-01-01,1,Ciutat Vella,1,el Raval,3,27,1,1
2023-01-01,1,Ciutat Vella,1,el Raval,3,23,1,2
2023-01-01,1,Ciutat Vella,1,el Raval,3,22,1,3
2023-01-01,1,Ciutat Vella,1,el Raval,3,24,1,4
2023-01-01,1,Ciutat Vella,1,el Raval,3,25,1,5
2023-01-01,1,Ciutat Vella,1,el Raval,3,17,1,6
2023-01-01,1,Ciutat Vella,1,el Raval,3,16,1,7
